Id,Label
monica,monica
chandler,chandler
rachel,rachel
joey,joey
ross,ross
phoebe,phoebe
mr. geller,mr. geller
mrs. geller,mrs. geller
gunther,gunther
mike,mike
emily,emily
carol,carol
janice,janice
charlie,charlie
susan,susan
julie,julie
tag,tag
frank,frank
mr. waltham,mr. waltham
mrs. waltham,mrs. waltham
kathy,kathy
mona,mona
gary,gary
ben,ben
mrs. bing,mrs. bing
david,david
janine,janine
amy,amy
fun bobby,fun bobby
erica,erica
joshua,joshua
pete,pete
bonnie,bonnie
jill,jill
alice,alice
paolo,paolo
eric,eric
mr. treeger,mr. treeger
richard,richard
danny,danny
ursula,ursula
steve,steve
max,max
sandy,sandy
mrs. green,mrs. green
mr. bing,mr. bing
estelle,estelle
dr. green,dr. green
joanna,joanna
mrs green,mrs green
tim,tim
grandma tribbiani,grandma tribbiani
mark,mark
molly,molly
mr. tribbiani,mr. tribbiani
dr. long,dr. long
leslie,leslie
mr. heckles,mr. heckles
roger,roger
will,will
doug,doug
aunt lisa,aunt lisa
russ,russ
rob,rob
robert,robert
jack,jack
dina,dina
mike's father,mike's father
mike's mother,mike's mother
sophie,sophie
caitlin,caitlin
gavin,gavin
judy,judy
kate,kate
michelle,michelle
lauren,lauren
amanda,amanda
katie,katie
melissa,melissa
erin,erin
paul,paul
barry,barry
angela,angela
aurora,aurora
susie,susie
chloe,chloe
tommy,tommy
joanne,joanne
kiki,kiki
bob,bob
paulo,paulo
sarah,sarah
phoebe sr,phoebe sr
felicity,felicity
dan,dan
mr. zelner,mr. zelner
kim,kim
ronni,ronni
luisa,luisa
robin,robin
billy,billy
cecilia,cecilia
aunt lillian,aunt lillian
bobby,bobby
margha,margha
joey's sisters,joey's sisters
krista,krista
kara,kara
kyle,kyle
uncle dan,uncle dan
laura,laura
jade,jade
cheryl,cheryl
tom,tom
nancy,nancy
marc,marc
bitsy,bitsy
bernice,bernice
terry,terry
stephanie,stephanie
cailin,cailin
vince,vince
zack,zack
donny,donny
helena,helena
bill,bill
benjamin,benjamin
gene,gene
earl,earl
annabelle,annabelle
